labels,text
neg,"It may be an easy swipe to take , but this Barbershop just does n't make the cut ."
pos,This is art paying homage to art .
neg,focuses on Joan 's raging hormones and sledgehammers the audience with Spanish inquisitions about her `` madness '' so much that I became mad that I wasted 123 minutes and $ 9.50 on this 21st century torture device .
pos,"Shainberg weaves a carefully balanced scenario that is controlled by neither character , is weirdly sympathetic to both and manages to be tender and darkly comic ."
pos,"( Drumline ) is entertaining for what it does , and admirable for what it does n't do ."
pos,"This is the kind of movie that used to be right at home at the Saturday matinee , and it still is ."
neg,"It 's not horrible , just horribly mediocre ."
pos,The acting alone is worth the price of admission .
pos,"The diversity of the artists represented , both in terms of style and ethnicity , prevents the proceedings from feeling repetitious , as does the appropriately brief 40-minute running time ."
neg,"If this dud had been made in the '70s , it would have been called The Hills Have Antlers and played for about three weeks in drive-ins ."
pos,A beautiful and haunting examination of the stories we tell ourselves to make sense of the mundane horrors of the world .
neg,But I was n't .
pos,An excellent romp that boasts both a heart and a mind .
neg,The cartoon that is n't really good enough to be on afternoon TV is now a movie that is n't really good enough to be in theaters .
neg,`` An entire film about researchers quietly reading dusty old letters . ''
pos,"Often hilarious , well-shot and , importantly , entertaining , Hell House is a fascinating document of an event that has to be seen to be believed ."
neg,"Too stupid to be satire , too obviously hateful to be classified otherwise , Frank Novak 's irritating slice of lumpen life is as reliably soul-killing as its title is nearly meaningless ."
neg,How did it ever get made ?
neg,Extremely boring .
pos,Presents an astute appraisal of Middle American musical torpor and the desperate struggle to escape it .
neg,Son of the Bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness .
pos,"On its own cinematic terms , it successfully showcases the passions of both the director and novelist Byatt ."
neg,"How on earth , or anywhere else , did director Ron Underwood manage to blow $ 100 million on this ?"
pos,"A very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth ."
pos,"This is such a high-energy movie where the drumming and the marching are so excellent , who cares if the story 's a little weak ."
pos,It 's one of the saddest films I have ever seen that still manages to be uplifting but not overly sentimental .
pos,The Bourne Identity is what summer screen escapism used to be in the decades when it was geared more to grownups .
neg,"Guided more by intellect than heart , his story flattens instead of sharpens ."
neg,"The noble tradition of men in drag hits an all-time low in Sorority Boys , whose makers apparently believe that women 's clothing can cover up any deficiency in acting , writing or direction ."
pos,This is one of Polanski 's best films .
neg,Her film is unrelentingly claustrophobic and unpleasant .
neg,Too bad the former Murphy Brown does n't pop Reese back .
pos,But fans should have fun meeting a brand-new Pokemon called Celebi .
pos,"An elegant , exquisitely modulated psychological thriller ."
pos,The experience of watching blobby old-school CGI animation in this superlarge format is just surreal enough to be diverting .
pos,"It 's endearing to hear Madame D. refer to her husband as ` Jackie ' -- and he does make for excellent company , not least as a self-conscious performer ."
neg,"A woozy , roisterous , exhausting mess , and the off-beat casting of its two leads turns out to be as ill-starred as you might expect ."
neg,"Unfortunately , the picture failed to capture me ."
pos,Those outside show business will enjoy a close look at people they do n't really want to know .
neg,Any movie this boring should be required to have ushers in the theater that hand you a cup of coffee every few minutes .
pos,"s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results ."
neg,"It 's badly acted , blandly directed , and could have been scripted by someone who just graduated from elementary school ."
pos,A well-made and often lovely depiction of the mysteries of friendship .
pos,"Exquisitely acted and masterfully if preciously interwoven ... ( the film ) addresses in a fascinating , intelligent manner the intermingling of race , politics and local commerce ."
neg,"Too loud , too long and too frantic by half , Die Another Day suggests that the Bond franchise has run into a creative wall that 007 can not fly over , tunnel under or barrel through ."
neg,"I saw Knockaround Guys yesterday , and already the details have faded like photographs from the Spanish-American War ... It 's so unmemorable that it turned my ballpoint notes to invisible ink ."
neg,Going to the website may be just as fun ( and scary ) as going to the film .
neg,Even those of a single digit age will be able to recognize that this story is too goofy ... even for Disney .
pos,a compelling journey ... and `` His Best Friend Remembers '' is up there with the finest of specials .
pos,It 's both a necessary political work and a fascinating documentary ...
neg,"When the painted backdrops in a movie are more alive than its characters , you know you 're in trouble ."
pos,About nowhere kids who appropriated turfs as they found them and become self-made celebrity athletes -- a low-down version of the American dream .
pos,The talents of the actors helps `` Moonlight Mile '' rise above its heart-on-its-sleeve writing .
pos,The film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .
neg,"If Shayamalan wanted to tell a story about a man who loses his faith , why did n't he just do it , instead of using bad sci-fi as window dressing ?"
pos,An experience so engrossing it is like being buried in a new environment .
pos,"A thoughtful , provocative , insistently humanizing film ."
neg,Begins as a promising meditation on one of America 's most durable obsessions but winds up as a slender cinematic stunt .
pos,The filmmakers skillfully evoke the sense of menace that nature holds for many urban dwellers .
pos,The New Guy does have a heart .
pos,"Parker holds true to Wilde 's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness ."
neg,You 're better off staying home and watching The X-Files .
neg,Falters when it takes itself too seriously and when it depends too heavily on its otherwise talented cast to clown in situations that are n't funny .
neg,The story and characters are nowhere near gripping enough .
neg,"It does n't help that the director and cinematographer Stephen Kazmierski shoot on grungy video , giving the whole thing a dirty , tasteless feel ."
pos,"Roger Michell , who did an appealing job directing Persuasion and Notting Hill in England , gets too artsy in his American debut ."
pos,"It extends the writings of Jean Genet and John Rechy , the films of Fassbinder , perhaps even the nocturnal works of Goya ."
pos,"Often gruelling and heartbreaking to witness , but Seldahl and Wollter 's sterling performances raise this far above the level of the usual maudlin disease movie ."
pos,"Mixes likeable personalities , inventive photography and cutting , and wall-to-wall toe-tapping music to paint a picture of a subculture that is at once exhilarating , silly , perverse , hopeful and always fun ."
neg,"Nothing Denis has made before , like Beau Travil and Nenette et Boni , could prepare us for this gory , perverted , sex-soaked riff on the cannibal genre ."
pos,"Ranging from funny to shattering and featuring some of the year 's best acting , Personal Velocity gathers plenty of dramatic momentum ."
pos,Moore 's performance impresses almost as much as her work with Haynes in 1995 's Safe .
pos,"( Schweiger is ) talented and terribly charismatic , qualities essential to both movie stars and social anarchists ."
pos,This is simply the most fun you 'll ever have with a documentary !
neg,A benign but forgettable sci-fi diversion .
neg,Aspires for the piquant but only really achieves a sort of ridiculous sourness .
neg,It wo n't be long before you 'll spy I Spy at a video store near you .
neg,The story loses its bite in a last-minute happy ending that 's even less plausible than the rest of the picture .
pos,Skip work to see it at the first opportunity .
pos,Some actors have so much charisma that you 'd be happy to listen to them reading the phone book .
pos,"Subversive , meditative , clinical and poetic , The Piano Teacher is a daring work of genius ."
pos,"Call me a wimp , but I cried , not once , but three times in this animated sweet film ."
pos,May be spoofing an easy target -- those old ' 50 's giant creature features -- but ... it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .
pos,"It 's rare to find a film that dazzles the eye , challenges the brain , AND satisfies our lust for fast-paced action , but Minority Report delivers all that and a whole lot more ."
neg,Mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a substitute for humor .
neg,Flaunts its quirky excesses like a New Year 's Eve drunk sporting a paper party hat .
neg,But this time there 's some mold on the gold .
pos,Makes an aborbing if arguable case for the man 's greatness .
neg,"Do not , under any circumstances , consider taking a child younger than middle school age to this wallow in crude humor ."
neg,It 's a great deal of sizzle and very little steak .
pos,"If you sometimes like to go to the movies to have fun , Wasabi is a good place to start ."
neg,"... too slow , too boring , and occasionally annoying ."
pos,"The movie is full of fine performances , led by Josef Bierbichler as Brecht and Monica Bleibtreu as Helene Weigel , his wife ."
neg,"Marisa Tomei is good , but Just A Kiss is just a mess ."
neg,It 's neither as romantic nor as thrilling as it should be .
pos,"Merely as a technical , logistical feat , Russian Ark marks a cinematic milestone ."
pos,Ford deserves to be remembered at Oscar time for crafting this wonderful portrait of a conflicted soldier .
neg,"A recipe for cinematic disaster ... part Quentin Tarantino , part Guy Ritchie , and part 1960s spy spoof , it 's all bad ."
pos,Like old myths and wonder tales spun afresh .
pos,Provide ( s ) nail-biting suspense and credible characters without relying on technology-of-the-moment technique or pretentious dialogue .
pos,"Mr. Parker has brilliantly updated his source and grasped its essence , composing a sorrowful and hilarious tone poem about alienated labor , or an absurdist workplace sitcom ."
neg,Its save-the-planet message clashes with its crass marketing .
pos,"( A ) rare , beautiful film ."
pos,There is n't a weak or careless performance amongst them .
neg,But it pays a price for its intricate intellectual gamesmanship .
neg,"With a story inspired by the tumultuous surroundings of Los Angeles , where feelings of marginalization loom for every dreamer with a burst bubble , The Dogwalker has a few characters and ideas , but it never manages to put them on the same path ."
neg,"Pryor Lite , with half the demons , half the daring , much less talent , many fewer laughs ."
pos,"An intelligent , moving and invigorating film ."
pos,An unbelievably fun film just a leading man away from perfection .
neg,"With its hints of a greater intelligence lurking somewhere , The Ring makes its stupidity more than obvious ."
pos,"Watching Scarlet Diva , one is poised for titillation , raw insight or both ."
pos,"Here 's a British flick gleefully unconcerned with plausibility , yet just as determined to entertain you ."
neg,This is n't a `` Friday '' worth waiting for .
neg,Automatically pegs itself for the straight-to-video sci-fi rental shelf .
pos,Mnch 's genuine insight makes the film 's occasional overindulgence forgivable .
neg,"Bad Company leaves a bad taste , not only because of its bad-luck timing , but also the staleness of its script ."
neg,"It 's the kind of movie you ca n't quite recommend because it is all windup and not much of a pitch , yet you ca n't bring yourself to dislike it ."
neg,fear dot com is so rambling and disconnected it never builds any suspense .
pos,A byzantine melodrama that stimulates the higher brain functions as well as the libido .
neg,This is the type of movie best enjoyed by frat boys and college kids while sucking on the bong and downing one alcoholic beverage after another .
neg,Maudlin and melodramatic we expected .
pos,"Enormously likable , partly because it is aware of its own grasp of the absurd ."
neg,"Flashy , pretentious and as impenetrable as Morvern 's thick , working-class Scottish accent ."
neg,"The character is too forced and overwritten to be funny or believable much of the time , and Clayburgh does n't always improve the over-the-top mix ."
pos,A dream cast of solid female talent who build a seamless ensemble .
neg,The Sum of All Fears is almost impossible to follow -- and there 's something cringe-inducing about seeing an American football stadium nuked as pop entertainment .
neg,"Unfortunately , as a writer , Mr. Montias is n't nearly as good to his crew as he is as a director or actor ."
neg,"Instead , we just get messy anger , a movie as personal therapy ."
pos,... a poignant and powerful narrative that reveals that reading writing and arithmetic are not the only subjects to learn in life .
pos,A remarkable 179-minute meditation on the nature of revolution .
pos,"This road movie gives you emotional whiplash , and you 'll be glad you went along for the ride ."
pos,"While not as aggressively impressive as its American counterpart , `` In the Bedroom , '' Moretti 's film makes its own , quieter observations"
neg,Beyond a handful of mildly amusing lines ... there just is n't much to laugh at .
neg,Has little on its mind aside from scoring points with drag gags .
pos,"The film delivers not just the full assault of Reno 's immense wit and insight , but a time travel back to what it felt like during those unforgettably uncertain days ."
neg,A sermonizing and lifeless paean to teenage dullards .
neg,It took 19 predecessors to get THIS ?
pos,"Newton draws our attention like a magnet , and acts circles around her better known co-star , Mark Wahlberg ."
pos,"A bold and subversive film that cuts across the grain of what is popular and powerful in this high-tech age , speaking its truths with spellbinding imagery and the entrancing music of Philip Glass ."
pos,"In scope , ambition and accomplishment , Children of the Century ... takes Kurys ' career to a whole new level ."
neg,"Once the audience figure out what 's being said , the filmmaker 's relative passivity will make it tough for them to really care ."
neg,Little more than a frothy vanity project .
pos,"Zany , exuberantly irreverent animated space adventure ."
pos,"De Oliveira creates an emotionally rich , poetically plump and visually fulsome , but never showy , film whose bittersweet themes are reinforced and brilliantly personified by Michel Piccoli ."
pos,"There are times when A Rumor of Angels plays like an extended episode of Touched by an Angel -- a little too much dancing , a few too many weeping scenes -- but I liked its heart and its spirit ."
neg,"Verbinski substitutes atmosphere for action , tedium for thrills ."
neg,"Others may find it migraine-inducing , despite Moore 's attempts at whimsy and spoon feeding ."
pos,"After making several adaptations of other writers ' work , Armenian-Canadian director Atom Egoyan broached an original treatment of a deeply personal subject ."
neg,Its underlying mythology is a hodgepodge of inconsistencies that pose the question : Since when did dumb entertainment have to be this dumb ?
neg,"... an unimaginative , nasty , glibly cynical piece of work ."
neg,"Still , it gets the job done -- a sleepy afternoon rental ."
neg,A predictable and stereotypical little B-movie .
pos,... always remains movingly genuine .
pos,"It 's traditional moviemaking all the way , but it 's done with a lot of careful period attention as well as some very welcome wit ."
neg,` Dragonfly ' is a movie about a bus wreck that turns into a film wreck .
neg,Here 's a self-congratulatory 3D IMAX rah-rah .
neg,Watching the film is like reading a Times Portrait of Grief that keeps shifting focus to the journalist who wrote it .
pos,"The Hours makes you examine your own life in much the same way its characters do , and the experience is profound ."
pos,"But based on CQ , I 'll certainly be keeping an eye out for his next project ."
pos,"A somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race ."
neg,But hard-to-believe plot twists force the movie off track in its final half hour .
neg,The backyard battles you staged with your green plastic army men were more exciting and almost certainly made more sense .
pos,Good actress .
pos,"His characters are engaging , intimate and the dialogue is realistic and greatly moving ."
neg,"All ends well , sort of , but the frenzied comic moments never click ."
pos,"A recent favourite at Sundance , this white-trash satire will inspire the affection of even those unlucky people who never owned a cassette of Def Leppard 's Pyromania ."
pos,"Not everything works , but the average is higher than in Mary and most other recent comedies ."
neg,Director Dirk Shafer and co-writer Greg Hinton ride the dubious divide where gay porn reaches for serious drama .
neg,"Watching Trouble Every Day , at least if you do n't know what 's coming , is like biting into what looks like a juicy , delicious plum on a hot summer day and coming away with your mouth full of rotten pulp and living worms ."
neg,The film is a travesty of the genre and even as spoof takes itself too seriously .
neg,A bravura exercise in emptiness .
neg,Moderately involving despite bargain-basement photography and hackneyed romance .
neg,"All in all , there 's only one thing to root for : expulsion for everyone ."
pos,Bow 's best moments are when he 's getting busy on the basketball court because that 's when he really scores .
neg,The actors are forced to grapple with hazy motivations that never come into focus .
neg,It becomes gimmicky instead of compelling .
pos,"De Niro and McDormand give solid performances , but their screen time is sabotaged by the story 's inability to create interest ."
pos,"A sensual performance from Abbass buoys the flimsy story , but her inner journey is largely unexplored and we 're left wondering about this exotic-looking woman whose emotional depths are only hinted at ."
pos,"It suggests the wide-ranging effects of media manipulation , from the kind of reporting that is done by the supposedly liberal media ... to the intimate and ultimately tragic heartache of maverick individuals like Hatfield and Hicks ."
neg,"Herzog is obviously looking for a moral to his fable , but the notion that a strong , unified showing among Germany and Eastern European Jews might have changed 20th-Century history is undermined by Ahola 's inadequate performance ."
pos,"He just wants them to be part of the action , the wallpaper of his chosen reality ."
pos,"But in Imax 3-D , the clichs disappear into the vertiginous perspectives opened up by the photography ."
neg,"Like most Bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike ."
pos,A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done .
pos,"If no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch ."
pos,"Solid , lump-in-the-throat family entertainment that derives its power by sticking to the facts ."
pos,"The animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense ."
neg,There are films that try the patience of even the most cinema-besotted critic -- and this was one of them .
pos,"This is n't my favorite in the series , still I enjoyed it enough to recommend ."
pos,The way Coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .
pos,"This is what IMAX was made for : Strap on a pair of 3-D goggles , shut out the real world , and take a vicarious voyage to the last frontier -- space ."
pos,A richly imagined and admirably mature work from a gifted director who definitely has something on his mind .
neg,"Starts off with a bang , but then fizzles like a wet stick of dynamite at the very end ."
neg,What parents will suspect is that they 're watching a 76-minute commercial .
pos,"The WWII drama is well plotted , visually striking and filled with enjoyably complex characters who are never what they first appear ."
pos,Few films this year have been as resolute in their emotional nakedness .
neg,"If this is the resurrection of the Halloween franchise , it would have been better off dead ."
neg,Does n't amount to much of anything .
neg,"So stupid , so ill-conceived , so badly drawn , it created whole new levels of ugly ."
neg,One groan-inducing familiarity begets another .
pos,"Funny and , at times , poignant , the film from director George Hickenlooper all takes place in Pasadena , `` a city where people still read . ''"
pos,"Only an epic documentary could get it all down , and Spike Lee 's Jim Brown : All American at long last gives its subject a movie worthy of his talents ."
pos,"( Wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind ."
neg,One Hour Photo is an intriguing snapshot of one man and his delusions ; it 's just too bad it does n't have more flashes of insight .
pos,"It 's rather like a Lifetime special -- pleasant , sweet and forgettable ."
pos,The result is mesmerizing -- filled with menace and squalor .
pos,( Howard ) so good as Leon Barlow ... that he hardly seems to be acting .
neg,Looks like a high school film project completed the day before it was due .
pos,"Lovingly choreographed bloodshed taking place in a pristine movie neverland , basically ."
neg,"An ungainly , comedy-deficient , B-movie rush job ..."
neg,"For anyone who grew up on Disney 's 1950 Treasure Island , or remembers the 1934 Victor Fleming classic , this one feels like an impostor ."
pos,The episodic film makes valid points about the depersonalization of modern life .
pos,"Doug Liman , the director of Bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie 's spycraft and uses Damon 's ability to be focused and sincere ."
pos,"The film is surprisingly well-directed by Brett Ratner , who keeps things moving well -- at least until the problematic third act ."
neg,"The performances are so leaden , Michael Rymer 's direction is so bloodless and the dialogue is so corny that the audience laughs out loud ."
pos,A sports movie with action that 's exciting on the field and a story you care about off it .
neg,"A turgid little history lesson , humourless and dull ."
pos,"A comprehensive and provocative film -- one that pushes the boundaries of biography , and challenges its audience ."
pos,"Ms. Fulford-Wierzbicki is almost spooky in her sulky , calculating Lolita turn ."
pos,A vivid cinematic portrait .
neg,Bears is bad .
pos,A carefully structured scream of consciousness that is tortured and unsettling -- but unquestionably alive .
pos,It 's a terrific American sports movie and Dennis Quaid is its athletic heart .
pos,Fuller would surely have called this gutsy and at times exhilarating movie a great yarn .
pos,"A triumph , relentless and beautiful in its downbeat darkness ."
pos,Steers turns in a snappy screenplay that curls at the edges ; it 's so clever you want to hate it .
pos,The movie stays afloat thanks to its hallucinatory production design .
pos,"My goodness , Queen Latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts ."
pos,"As Weber and Weissman demonstrate with such insight and celebratory verve , the Cockettes were n't as much about gender , sexual preference or political agitprop as they were simply a triumph of the indomitable human will to rebel , connect and create ."
pos,A psychologically rich and suspenseful moral thriller with a stellar performance by Al Pacino .
pos,"A slick , well-oiled machine , exquisitely polished and upholstered ."
neg,Barely goes beyond comic book status .
neg,"Another big , dumb action movie in the vein of XXX , The Transporter is riddled with plot holes big enough for its titular hero to drive his sleek black BMW through ."
neg,"The low-budget Full Frontal was one of the year 's murkiest , intentionally obscure and self-indulgent pictures , and Solaris is its big-budget brother ."
neg,Rates an ` E ' for effort -- and a ` B ' for boring .
pos,"Visits spy-movie territory like a novel you ca n't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last ."
neg,"Still , this thing feels flimsy and ephemeral ."
neg,An ultra-low-budget indie debut that smacks more of good intentions than talent .
neg,Abandons all pretense of creating historical context and waltzes off into a hectic soap about the ups and downs of the heavy breathing between the two artists .
pos,"In its ragged , cheap and unassuming way , the movie works ."
pos,"At about 95 minutes , Treasure Planet maintains a brisk pace as it races through the familiar story ."
neg,A thinly veiled excuse for Wilson to play his self-deprecating act against Murphy 's well-honed prima donna shtick .
neg,"Afraid to pitch into farce , yet only half-hearted in its spy mechanics , All the Queen 's Men is finally just one long drag ."
neg,"Theology aside , why put someone who ultimately does n't learn at the center of a kids ' story ?"
pos,Take Care of My Cat offers a refreshingly different slice of Asian cinema .
pos,An involving true story of a Chinese actor who takes up drugs and winds up in an institution -- acted mostly by the actual people involved .
neg,"Plays as hollow catharsis , with lots of tears but very little in the way of insights ."
pos,This is such a dazzlingly self-assured directorial debut that it 's hard to know what to praise first .
pos,"another great ` what you do n't see ' is much more terrifying than what you do see thriller , coupled with some arresting effects , incandescent tones and stupendous performances"
neg,"Some of Seagal 's action pictures are guilty pleasures , but this one is so formulaic that it seems to be on auto-pilot ."
neg,"I did n't laugh at the ongoing efforts of Cube , and his skinny buddy Mike Epps , to make like Laurel and Hardy 'n the hood ."
